customer_ref,event_time,amount,currency,event_code,source_system
CB00023,2026-04-27T02:00:00,17813,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00023,2026-04-27T08:00:00,17813,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00023,2026-04-27T09:00:00,17813,EUR,CLOSED,WORKFLOW
CB00024,2026-04-27T00:00:00,18544,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00024,2026-04-27T00:08:00,18544,USD,VALIDATED,INSTRUCTIONS
CB00024,2026-04-27T00:20:00,18544,USD,SWIFT_SENT,SWIFT
CB00024,2026-04-27T02:00:00,18544,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00024,2026-04-27T03:00:00,18544,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00024,2026-04-27T04:00:00,18544,USD,CLOSED,WORKFLOW
CB00025,2026-04-27T06:00:00,19275,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00025,2026-04-27T06:08:00,19275,GBP,VALIDATED,INSTRUCTIONS
CB00025,2026-04-27T06:20:00,19275,GBP,SWIFT_SENT,SWIFT
CB00025,2026-04-27T08:00:00,19275,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00025,2026-04-27T09:00:00,19275,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00025,2026-04-27T10:00:00,19275,GBP,CLOSED,WORKFLOW
CB00026,2026-04-27T12:00:00,20006,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00026,2026-04-27T12:08:00,20006,EUR,VALIDATED,INSTRUCTIONS
CB00026,2026-04-27T12:20:00,20006,EUR,SWIFT_SENT,SWIFT
CB00026,2026-04-27T14:00:00,20006,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00026,2026-04-27T15:00:00,20006,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00026,2026-04-27T16:00:00,20006,EUR,CLOSED,WORKFLOW
CB00027,2026-04-27T18:00:00,20737,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00027,2026-04-27T18:08:00,20737,USD,VALIDATED,INSTRUCTIONS
CB00027,2026-04-27T18:20:00,20737,USD,SWIFT_SENT,SWIFT
CB00027,2026-04-27T20:00:00,20737,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00027,2026-04-27T21:00:00,20737,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00027,2026-04-27T22:00:00,20737,USD,CLOSED,WORKFLOW
CB00028,2026-04-28T00:00:00,21468,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00028,2026-04-28T00:08:00,21468,GBP,VALIDATED,INSTRUCTIONS
CB00028,2026-04-28T00:20:00,21468,GBP,SWIFT_SENT,SWIFT
CB00028,2026-04-28T02:00:00,21468,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00028,2026-04-28T03:00:00,21468,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00028,2026-04-28T04:00:00,21468,GBP,CLOSED,WORKFLOW
CB00029,2026-04-28T06:00:00,22199,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00029,2026-04-28T06:08:00,22199,EUR,VALIDATED,INSTRUCTIONS
CB00029,2026-04-28T06:20:00,22199,EUR,SWIFT_SENT,SWIFT
CB00029,2026-04-28T08:00:00,22199,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00029,2026-04-28T09:00:00,22199,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00029,2026-04-28T10:00:00,22199,EUR,CLOSED,WORKFLOW
CB00030,2026-04-28T12:00:00,22930,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00030,2026-04-28T12:08:00,22930,USD,VALIDATED,INSTRUCTIONS
CB00030,2026-04-28T12:20:00,22930,USD,SWIFT_SENT,SWIFT
CB00030,2026-04-28T17:00:00,22930,USD,SUSPENSE_POSTED,GL
CB00031,2026-04-28T18:00:00,23661,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00031,2026-04-28T18:08:00,23661,GBP,VALIDATED,INSTRUCTIONS
CB00031,2026-04-28T18:20:00,23661,GBP,SWIFT_SENT,SWIFT
CB00031,2026-04-29T02:00:00,23661,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00031,2026-04-29T08:00:00,23661,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00031,2026-04-29T09:00:00,23661,GBP,CLOSED,WORKFLOW
CB00032,2026-04-29T00:00:00,24392,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00032,2026-04-29T00:08:00,24392,EUR,VALIDATED,INSTRUCTIONS
CB00032,2026-04-29T00:20:00,24392,EUR,SWIFT_SENT,SWIFT
CB00032,2026-04-29T08:00:00,24392,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00032,2026-04-29T14:00:00,24392,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00032,2026-04-29T15:00:00,24392,EUR,CLOSED,WORKFLOW
CB00033,2026-04-29T06:00:00,25123,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00033,2026-04-29T06:08:00,25123,USD,VALIDATED,INSTRUCTIONS
CB00033,2026-04-29T06:20:00,25123,USD,SWIFT_SENT,SWIFT
CB00033,2026-04-29T14:00:00,25123,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00033,2026-04-29T20:00:00,25123,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00033,2026-04-29T21:00:00,25123,USD,CLOSED,WORKFLOW
CB00034,2026-04-29T12:00:00,25854,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00034,2026-04-29T12:08:00,25854,GBP,VALIDATED,INSTRUCTIONS
CB00034,2026-04-29T12:20:00,25854,GBP,SWIFT_SENT,SWIFT
CB00034,2026-04-29T14:00:00,25854,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00034,2026-04-29T15:00:00,25854,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00034,2026-04-29T16:00:00,25854,GBP,CLOSED,WORKFLOW
CB00035,2026-04-29T18:00:00,26585,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00035,2026-04-29T18:08:00,26585,EUR,VALIDATED,INSTRUCTIONS
CB00035,2026-04-29T18:20:00,26585,EUR,SWIFT_SENT,SWIFT
CB00035,2026-04-29T20:00:00,26585,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00035,2026-04-29T21:00:00,26585,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00035,2026-04-29T22:00:00,26585,EUR,CLOSED,WORKFLOW
CB00036,2026-04-30T00:00:00,27316,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00036,2026-04-30T00:08:00,27316,USD,VALIDATED,INSTRUCTIONS
CB00036,2026-04-30T00:20:00,27316,USD,SWIFT_SENT,SWIFT
CB00036,2026-04-30T02:00:00,27316,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00036,2026-04-30T03:00:00,27316,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00036,2026-04-30T04:00:00,27316,USD,CLOSED,WORKFLOW
CB00037,2026-04-30T06:00:00,28047,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00037,2026-04-30T06:08:00,28047,GBP,VALIDATED,INSTRUCTIONS
CB00037,2026-04-30T06:20:00,28047,GBP,SWIFT_SENT,SWIFT
CB00037,2026-04-30T08:00:00,28047,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00037,2026-04-30T09:00:00,28047,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00037,2026-04-30T10:00:00,28047,GBP,CLOSED,WORKFLOW
CB00038,2026-04-30T12:00:00,28778,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00038,2026-04-30T12:08:00,28778,EUR,VALIDATED,INSTRUCTIONS
CB00038,2026-04-30T12:20:00,28778,EUR,SWIFT_SENT,SWIFT
CB00038,2026-04-30T14:00:00,28778,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00038,2026-04-30T15:00:00,28778,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00038,2026-04-30T16:00:00,28778,EUR,CLOSED,WORKFLOW
CB00039,2026-04-30T18:00:00,29509,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00039,2026-04-30T18:08:00,29509,USD,VALIDATED,INSTRUCTIONS
CB00039,2026-04-30T18:20:00,29509,USD,SWIFT_SENT,SWIFT
CB00039,2026-04-30T20:00:00,29509,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00039,2026-04-30T21:00:00,29509,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00039,2026-04-30T22:00:00,29509,USD,CLOSED,WORKFLOW
CB00040,2026-05-01T00:00:00,30240,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00040,2026-05-01T00:08:00,30240,GBP,VALIDATED,INSTRUCTIONS
CB00040,2026-05-01T00:20:00,30240,GBP,SWIFT_SENT,SWIFT
CB00040,2026-05-01T05:00:00,30240,GBP,SUSPENSE_POSTED,GL
CB00041,2026-05-01T06:00:00,30971,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00041,2026-05-01T06:08:00,30971,EUR,VALIDATED,INSTRUCTIONS
CB00041,2026-05-01T06:20:00,30971,EUR,SWIFT_SENT,SWIFT
CB00041,2026-05-01T14:00:00,30971,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00041,2026-05-01T20:00:00,30971,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00041,2026-05-01T21:00:00,30971,EUR,CLOSED,WORKFLOW
CB00042,2026-05-01T12:00:00,31702,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00042,2026-05-01T12:08:00,31702,USD,VALIDATED,INSTRUCTIONS
CB00042,2026-05-01T12:20:00,31702,USD,SWIFT_SENT,SWIFT
CB00042,2026-05-01T20:00:00,31702,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00042,2026-05-02T02:00:00,31702,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00042,2026-05-02T03:00:00,31702,USD,CLOSED,WORKFLOW
CB00043,2026-05-01T18:00:00,32433,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00043,2026-05-01T18:08:00,32433,GBP,VALIDATED,INSTRUCTIONS
CB00043,2026-05-01T18:20:00,32433,GBP,SWIFT_SENT,SWIFT
CB00043,2026-05-02T02:00:00,32433,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00043,2026-05-02T08:00:00,32433,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00043,2026-05-02T09:00:00,32433,GBP,CLOSED,WORKFLOW
CB00044,2026-05-02T00:00:00,33164,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00044,2026-05-02T00:08:00,33164,EUR,VALIDATED,INSTRUCTIONS
CB00044,2026-05-02T00:20:00,33164,EUR,SWIFT_SENT,SWIFT
CB00044,2026-05-02T02:00:00,33164,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00044,2026-05-02T03:00:00,33164,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00044,2026-05-02T04:00:00,33164,EUR,CLOSED,WORKFLOW
CB00045,2026-05-02T06:00:00,33895,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00045,2026-05-02T06:08:00,33895,USD,VALIDATED,INSTRUCTIONS
CB00045,2026-05-02T06:20:00,33895,USD,SWIFT_SENT,SWIFT
CB00045,2026-05-02T08:00:00,33895,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00045,2026-05-02T09:00:00,33895,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00045,2026-05-02T10:00:00,33895,USD,CLOSED,WORKFLOW
CB00046,2026-05-02T12:00:00,34626,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00046,2026-05-02T12:08:00,34626,GBP,VALIDATED,INSTRUCTIONS
CB00046,2026-05-02T12:20:00,34626,GBP,SWIFT_SENT,SWIFT
CB00046,2026-05-02T14:00:00,34626,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00046,2026-05-02T15:00:00,34626,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00046,2026-05-02T16:00:00,34626,GBP,CLOSED,WORKFLOW
CB00047,2026-05-02T18:00:00,35357,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00047,2026-05-02T18:08:00,35357,EUR,VALIDATED,INSTRUCTIONS
CB00047,2026-05-02T18:20:00,35357,EUR,SWIFT_SENT,SWIFT
CB00047,2026-05-02T20:00:00,35357,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00047,2026-05-02T21:00:00,35357,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00047,2026-05-02T22:00:00,35357,EUR,CLOSED,WORKFLOW
CB00048,2026-05-03T00:00:00,36088,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00048,2026-05-03T00:08:00,36088,USD,VALIDATED,INSTRUCTIONS
CB00048,2026-05-03T00:20:00,36088,USD,SWIFT_SENT,SWIFT
CB00048,2026-05-03T02:00:00,36088,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00048,2026-05-03T03:00:00,36088,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00048,2026-05-03T04:00:00,36088,USD,CLOSED,WORKFLOW
CB00049,2026-05-03T06:00:00,36819,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00049,2026-05-03T06:08:00,36819,GBP,VALIDATED,INSTRUCTIONS
CB00049,2026-05-03T06:20:00,36819,GBP,SWIFT_SENT,SWIFT
CB00049,2026-05-03T08:00:00,36819,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00049,2026-05-03T09:00:00,36819,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00049,2026-05-03T10:00:00,36819,GBP,CLOSED,WORKFLOW
CB00050,2026-05-03T12:00:00,37550,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00050,2026-05-03T12:08:00,37550,EUR,VALIDATED,INSTRUCTIONS
CB00050,2026-05-03T12:20:00,37550,EUR,SWIFT_SENT,SWIFT
CB00050,2026-05-03T17:00:00,37550,EUR,SUSPENSE_POSTED,GL
CB00051,2026-05-03T18:00:00,38281,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00051,2026-05-03T18:08:00,38281,USD,VALIDATED,INSTRUCTIONS
CB00051,2026-05-03T18:20:00,38281,USD,SWIFT_SENT,SWIFT
CB00051,2026-05-04T02:00:00,38281,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00051,2026-05-04T08:00:00,38281,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00051,2026-05-04T09:00:00,38281,USD,CLOSED,WORKFLOW
CB00052,2026-05-04T00:00:00,39012,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00052,2026-05-04T00:08:00,39012,GBP,VALIDATED,INSTRUCTIONS
CB00052,2026-05-04T00:20:00,39012,GBP,SWIFT_SENT,SWIFT
CB00052,2026-05-04T08:00:00,39012,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00052,2026-05-04T14:00:00,39012,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00052,2026-05-04T15:00:00,39012,GBP,CLOSED,WORKFLOW
CB00053,2026-05-04T06:00:00,39743,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00053,2026-05-04T06:08:00,39743,EUR,VALIDATED,INSTRUCTIONS
CB00053,2026-05-04T06:20:00,39743,EUR,SWIFT_SENT,SWIFT
CB00053,2026-05-04T14:00:00,39743,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00053,2026-05-04T20:00:00,39743,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00053,2026-05-04T21:00:00,39743,EUR,CLOSED,WORKFLOW
CB00054,2026-05-04T12:00:00,40474,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
